Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
64,25,AlvarezR,17,4,4,37,43,77,60,1.2833,34,0.3617,0.4167,34,33,1.0303,17,0.7385,17,0.7784,1.1552,1.1002,1,1,7,22,E Maritime Div 2,1,Maritime,KenneyJ
64,25,AmerikaB,11,11,3,25,2,82,58,1.4138,42,0.4468,0.3867,80,63,1.2698,34,0.6495,8,0.8335,1.0362,1.0963,2,0,6,20,C Midland,11,Midland,MorganEM
64,25,AmmermanA,7,15,3,17,-27,106,86,1.2326,31,0.2870,0.5733,133,97,1.3711,31,0.6437,0,0.8603,1.217,0.9307,0,0,6,17,C Frontier Div 1,15,Frontier,WrightB
64,25,AmmermanN,12,8,5,29,9,103,79,1.3038,38,0.3551,0.5267,94,74,1.2703,35,0.6635,3,0.8818,1.1902,1.0186,0,0,11,22,D Coastal Div 2,7,Coastal,RipsteinE
64,25,AmuzieCC,9,15,1,16,-11,80,61,1.3115,32,0.3678,0.4621,91,72,1.2639,38,0.6545,-6,0.8299,1.1166,1.0223,0,3,8,12,D Skyline Div 2,24,Skyline,SamburgM
64,25,AnandS,13,10,2,24,14,52,42,1.2381,28,0.3590,0.3333,38,36,1.0556,22,0.7105,6,0.6923,1.0438,1.0695,1,4,1,8,E Highland Div 1,16,Highland,CrosslandC
64,25,AndelaD,5,14,6,16,-27,139,104,1.3365,26,0.3023,0.6933,166,119,1.3950,24,0.6712,2,0.9956,1.3645,0.9735,0,0,11,13,A Skyline,27,Skyline,TricchinelliR
64,25,AndersonAA,5,19,1,-2,-41,20,18,1.1111,12,0.3158,0.2500,61,42,1.4524,36,0.5263,-24,0.5658,0.7763,0.8421,3,13,0,12,R Corridor Div 2,24,Corridor,ZuckermanD
64,25,AndersonD,14,9,2,30,17,136,93,1.4624,44,0.4632,0.6200,119,92,1.2935,27,0.7065,17,1.0832,1.3265,1.1697,1,0,13,13,B Coastal,6,Coastal,ShermanG
64,25,AndersonDR,9,13,3,20,-24,45,39,1.1538,28,0.3373,0.2708,69,53,1.3019,32,0.6235,-4,0.6081,0.8943,0.9608,0,1,2,21,E Central Div 2,24,Central,ScheelerD
64,25,AndersonE,4,20,1,9,-37,71,59,1.2034,32,0.3232,0.3933,108,79,1.3671,38,0.6082,-6,0.7165,1.0015,0.9314,2,0,2,16,D Central Div 1,25,Central,ScheelerD
64,25,AndersonE2,15,6,4,34,33,96,67,1.4328,50,0.4587,0.4467,63,51,1.2353,25,0.6753,25,0.9054,1.122,1.134,3,0,5,24,R Midland Div 1,4,Midland,BallisterE
64,25,AndersonJ,8,15,2,18,-8,84,70,1.2000,31,0.2981,0.4667,92,75,1.2267,24,0.7303,7,0.7648,1.197,1.0284,2,0,6,18,D Coastal Div 2,21,Coastal,PliskaG
64,25,AndersonJ2,12,10,3,27,-5,106,87,1.2184,29,0.2710,0.5800,111,84,1.3214,29,0.6705,0,0.851,1.2505,0.9415,0,0,6,3,C Frontier Div 1,8,Frontier,BarkerC
64,25,AndreD,14,9,2,30,17,131,95,1.3789,32,0.3678,0.6333,114,94,1.2128,25,0.7596,7,1.0011,1.3929,1.1274,0,0,14,14,B Frontier,6,Frontier,PrestemonE
64,25,AndrewsT,3,16,6,8,-38,21,26,0.8077,10,0.1786,0.2063,59,45,1.3111,35,0.5977,-25,0.3849,0.804,0.7763,1,4,0,12,E Corridor Div 1,27,Corridor,RalstonJ
64,25,AndriesK,10,10,5,25,-2,67,58,1.1552,30,0.3000,0.3867,69,56,1.2321,31,0.6630,-1,0.6867,1.0497,0.963,0,0,3,12,E Horizon Div 3,12,Horizon,BundroR
64,25,AnhaltD,2,18,5,4,-48,10,10,1.0000,9,0.3214,0.0833,58,46,1.2609,31,0.6310,-22,0.4047,0.7143,0.9524,0,5,0,14,E Skyline Div 2,24,Skyline,StoneE
64,25,AnR,3,17,5,4,-31,15,16,0.9375,11,0.2750,0.1481,46,39,1.1795,23,0.6761,-12,0.4231,0.8242,0.9511,0,7,0,12,E Highland Div 1,34,Highland,MaddyE
64,25,AnsorgeK,10,13,2,21,-11,46,37,1.2432,27,0.3699,0.2569,57,48,1.1875,29,0.6705,-2,0.6268,0.9274,1.0404,1,1,4,19,E Metro Div 1,20,Metro,CapodiceN
64,25,AnthonyS,19,3,3,41,57,107,75,1.4267,47,0.4476,0.5000,50,41,1.2195,24,0.6620,23,0.9476,1.162,1.1096,0,0,11,18,E Skyline Div 2,1,Skyline,StoneE
64,25,AntkowiakP,10,11,4,24,-4,72,69,1.0435,18,0.1818,0.4600,76,67,1.1343,27,0.7379,-9,0.6418,1.1979,0.9197,0,0,5,16,D Maritime Div 1,15,Maritime,DiGiorgioN
64,25,AntunesM,11,9,5,27,4,101,81,1.2469,33,0.3084,0.5400,97,79,1.2278,32,0.7009,1,0.8484,1.2409,1.0093,1,0,7,14,C Maritime,8,Maritime,MaloneM
